kitchen_features,floor_covering,Dishwasher,Garbage Disposal,Refigerator,Microwave,Oven,Gas Range,Electric Range,Double Sink,Island,Pantry,Wood,Stone,Carpet,Ceramic,Tile
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Gas Range, Refrigerator, Warming Drawer, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: granite, Microwave: Stainless Steel, Oven: Stainless Steel",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: granite, Microwave: built in, Oven: mutiple","Carpet, Ceramic Tile, Natural Stone, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Viking","Carpet, Other: Flagstone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless","Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Desk, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Countertops: Corian, Microwave: KitchenAid, Oven: KitchenAid","Carpet, Ceramic Tile, Mexican Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Countertops: Quartz, Microwave: Microwave, Oven: Oven","Carpet, Other: Porcelain",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Prep Sink, Refrigerator, Warming Drawer, Water Purifier, Appliance Color: Stainless, Countertops: Granite, Oven: Double Convection",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Oven: Double Oven","Carpet, Mexican Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Prep Sink, Refrigerator, Microwave: stainless, Oven: stainless","Carpet, Ceramic Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Gas Range, Refrigerator","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Reverse Osmosis, Wet Bar, Appliance Color: Stainless, Oven: Oven","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: .","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: KitchenAid, Oven: KitchenAid","Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Quartz, Microwave: Built in, Oven: Range","Ceramic Tile, Vinyl, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Other, Countertops: Granite, Oven: Wolf","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Gas Range, Indoor Grill, Island, Pantry: Cabinet, Refrigerator, Appliance Color: White, Countertops: TILE, Oven: DOUBLE","Concrete, Mexican Tile",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Double Sink, Electric Range, Island, Lazy Susan, Pantry: Butler, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Oven: Stainless","Ceramic Tile, Concrete, Vinyl, Other: Terrazzo",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Compactor, Desk, Dishwasher, Electric Range, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Wet Bar, Appliance Color: Almond, Countertops: Corian","Carpet, Mexican Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Black, Countertops: granite, Microwave: Built In, Oven: built in","Carpet, Ceramic Tile, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Garbage Disposal, Gas Range, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: KitchenAid, Oven: KitchenAid","Ceramic Tile, Concrete, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Closet, Prep Sink, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Oven: wolf","Carpet, Ceramic Tile, Concrete",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Lazy Susan, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Built In, Oven: Built In","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Mexican Tile, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Freezer, Gas Range, Refrigerator, Countertops: Cement-laminate","Ceramic Tile, Vinyl, Other: Cement tiles/Bamboo",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Oven","Mexican Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Oven",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite",Concrete,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite","Carpet, Ceramic Tile, Laminate",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: Quartz, Microwave: Included, Oven: Included",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Countertops: granite, Microwave: yes, Oven: yes",Mexican Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Garbage Disposal, Refrigerator, Oven","Carpet, Natural Stone",False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Garbage Disposal, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator","Concrete, Mexican Tile",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: GE Moongram","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Oven: Double","Carpet, Laminate, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Refrigerator, Microwave, Oven","Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven","Concrete, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Ceramic Tile, Natural Stone, Wood",False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Concrete",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Appliance Color: Black","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Pantry: Closet, Refrigerator","Carpet, Concrete",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Black, Countertops: Granite, Oven: oven","Carpet, Mexican Tile, Other: Brick",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Refrigerator, Appliance Color: Stainless, Countertops: Granite or Quartz","Carpet, Wood, Other: Porcelain/Engineered",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Granite, Microwave: Built-in","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Stone","Concrete, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: ., Oven: .","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Cabinet, Refrigerator, Countertops: Quartz Stone","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Appliance Color: Stainless, Countertops: Granite/Quartz, Oven: Double Ovens","Carpet, Other: Travertine",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Electric Range, Refrigerator, Appliance Color: Stainless","Natural Stone, Wood",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Dishwasher, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Quartz, Microwave: thermador, Oven: Blue Star","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Freezer, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless, Microwave: Built in, Oven: Double","Carpet, Other: Brick Pavers",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Water Purifier, Appliance Color: Black, Countertops: Granite, Microwave: Black, Oven: Double/Convection","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Wet Bar, Appliance Color: Almond, Countertops: TILE, Microwave: MICROWAVE","Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Mexican Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Grantite & Quartz, Microwave: Stainless, Oven: Stainless","Carpet, Natural Stone, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Natural Stone,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Concrete",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Black, Countertops: Granite",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite or Quartz","Carpet, Wood, Other: Porcelain/Engineered",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: quartz, Oven: professional 48''","Carpet, Ceramic Tile, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",Natural Stone,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Stainless, Oven: Gas/Wall","Carpet, Ceramic Tile, Concrete",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Marble, Microwave: Built In, Oven: Built In","Carpet, Concrete, Other: Brick",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Countertops: Granite, Microwave: Conventional, Oven: Double","Carpet, Ceramic Tile, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
None,"Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Warming Drawer, Water Purifier, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Oven: double","Carpet, Natural Stone, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Oven","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Oven","Concrete, Mexican Tile",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Mexican Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Wood, Other",True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Other",False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Refrigerator, Oven",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Wood, Other",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Mexican Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Ceramic Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Electric Range, Garbage Disposal, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless","Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Microwave, Oven","Carpet, Mexican Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless, Countertops: Granite",Concrete,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite","Carpet, Ceramic Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Desk, Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Cabinet, Refrigerator, Appliance Color: Stainless, Countertops: Granite",Mexican Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Desk, Dishwasher, Freezer, Gas Range, Island, Refrigerator, Countertops: Granite, Oven: Double","Carpet, Concrete",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Prep Sink, Refrigerator, Appliance Color: Stainless","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Refrigerator, Appliance Color: Stainless","Ceramic Tile, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Butler, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Quartz, Microwave: -, Oven: -","Carpet, Ceramic Tile, Laminate, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Warming Drawer, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Dacor, Oven: Double Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: Quartz,Quartzite, Microwave: Viking, Oven: Viking","Carpet, Other: Porcelain Tile",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Quartzite, Microwave: built-in, Oven: SS",Mexican Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Gas Range, Island, Lazy Susan, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Countertops: Quartz, Microwave: Microwave, Oven: OVen",Wood,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
"Dishwasher, Double Sink, Gas Range, Refrigerator, Oven",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Closet, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Caesar Stone, Microwave: Advantium Speed, Oven: Convection","Carpet, Natural Stone",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
None,Carpet,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Desk, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Water Purifier, Appliance Color: Stainless, Countertops: Ceasarstone, Microwave: Stainless, Oven: Stainless",Mexican Tile,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Double Sink, Gas Range",Ceramic Tile,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Refrigerator, Oven","Carpet, Natural Stone, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Double Sink, Freezer, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: Granite, Microwave: Built in, Oven: Double","Ceramic Tile, Laminate, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Ceramic Tile",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Concrete",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Oven","Carpet, Ceramic Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Mexican Tile, Wood",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","Carpet, Natural Stone, Other",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
