,Value,Input
9973,1, vader that is the system and im sure skywalker is with them set  your course for the hoth system general veers prepare you men
9974,1, rebel captain groups seven and ten will stay behind to fly the  speeders as soon as each transport is loaded evacuation control will give clearance for immediate launch
9975,1, rebel fighter right sir
9976,1, han okay thats it try itoff turn it  off turn it off off
9977,1, medical droid sir it will take quite awhile to evacuate the tforty  sevens
9978,1, luke well forget the heavy equipment theres plenty of time to get  the smaller modules on the transports
9979,1, medical droid take care sir
9980,1, luke thanks
9981,1, luke chewie take care of yourself okay
9982,1, han hi kid  theres got to be a reason for it check it  at the other end wait a second  you all right
9983,1, luke yeah
9984,1, han be careful
9985,1, luke you too
9986,1, controller general theres a fleet of star destroyers coming out of  hyperspace in sector four
9987,1, rieekan reroute all power to the energy shield weve got to hold  them till all transports are away prepare for ground assault
9988,1, vader what is it general
9989,1, veers my lord the fleet has moves out of lightspeed comscan has  detected an energy field protecting an area around the sixth planet of the hoth system the field is strong enough to deflect any bombardment
9990,1, vader the rebels are alerted to our presence admiral ozzel  came out of lightspeed too close to the system
9991,1, veers he felt surprise was wiser
9992,1, vader he is as clumsy as he is stupid general prepare your troops  for a surface attack
9993,1, veers yes my lord
9994,1, ozzel lord vader the fleet has moved out of lightspeed and were  preparing toaaagh
9995,1, vader you have failed me for the last time admiral captain piett
9996,1, piett yes my lord
9997,1, vader make ready to land out troops beyond the energy shield and  deploy the fleet so that nothing gets off that system you are in command now admiral piett
9998,1, piett thank you lord vader
9999,1, leia all troop carriers will assemble at the north entrance the  heavy transport ships will leave as soon as theyre loaded only two fighter escorts per ship the energy shield can only be opened for a short time so youll have to stay very close to your transports
10000,1, hobbie two fighters against a star destroyer
10001,1, leia the ion cannon will fire several shots to make sure that any  enemy ships will be out of your flight path when youve gotten past the energy shield proceed directly to the rendezvous point understood
10002,1, pilots right okay
10003,1, leia good luck
10004,1, derlin okay everyone to your stations lets go
10005,1, rieekan their primary target will be the power generators prepare to  open the shield
10006,1, controller sir rebel ships are coming into our sector
10007,1, captain good our first catch of the day
10008,1, woman controller stand by ion controlfire
10009,1, announcer the first transport is away
10010,1, dack feeling all right sir
10011,1, luke just like new dack how about you
10012,1, dack right now i feel i could take on the whole empire myself
10013,1, luke i know what you mean
10014,1, trench officer echo station threeteight
10015,1, trench officer we have spotted imperial walkers
10016,1, controller imperial walkers on the north ridge
10017,1, luke echo station fiveseven were on our way
10018,1, luke all right boys keep tight now
10019,1, dack luke i have no approach vector im not set
10020,1, luke steady dack attack pattern delta go now
10021,1, luke all right im coming in
10022,1, luke hobbie you still with me
10023,1, luke that armors too strong for blasters
10024,1, luke rouge group use your harpoons and tow cables go  for the legs it might be our only chance of stopping them  all right stand by dack
10025,1, dack luke weve got a malfunction in fire control ill have to cut  in the auxiliary
10026,1, luke just hang on hang on dack get ready to fire that tow cable
10027,1, luke dack dack
10028,1, veers yes lord vader ive reached the main power generator the  shield will be down in moments you may start your landing
10029,1, luke rouge three
10030,1, wedge copy rouge leader
10031,1, luke wedge ive lost my gunner youll have to make  this shot ill cover for you set your harpoon follow me on the next pass
10032,1, wedge coming around rouge leader
10033,1, luke steady rouge two
10034,1, wedge activate harpoon
10035,1, wedge good shot janson
10036,1, wedge one more pass
10037,1, janson coming around once more
10038,1, janson one more
10039,1, janson cable out let her go
10040,1, wedge detach cable
10041,1, janson cable detached
10042,1, trench officer come on
10043,1, wedge whooha that got him
10044,1, luke i see it wedge good work
10045,1, rieekan i dont think we can protect two transports at a time
10046,1, leia its risky but we cant hold out much longer we have no  choice
10047,1, rieekan launch patrols
10048,1, leia evacuate remaining ground staff
10049,1, han no no no this one goes there that one goes there right
10050,1, threepio artoo you take good care of master luke now understand  anddo take care of yourself oh dear oh dear
10051,1, veers all troops will debark for ground assault prepare to target  the main generator
10052,1, luke rouge two are you all right
10053,1, zev yeah im with you rouge leader
10054,1, luke well set harpoon ill cover for you
10055,1, zev coming around
10056,1, luke watch that cross fire boys
10057,1, zev set for position three  steady
10058,1, luke stay tight and low
10059,1, luke hobbie ive been hit
10060,1, han you all right
10061,1, leia why are you still here
10062,1, han i heard the command center had been hit
10063,1, leia you got your clearance to leave
10064,1, han dont worry ill leave first im going to get you to your ship
10065,1, threepio your highness we must take this last transport its our  only hope
10066,1, leia send all troops in sector twelve to the south  slope to protect the fighters
10067,1, announcer imperial troops have entered the base
10068,1, han come onthats it
10069,1, leia give the evacuation code signal and get to  your transports
10070,1, head controller konezeroall troops disengage
10071,1, threepio oh wait for me
10072,1, officer begin retreat
10073,1, second officer fall back
10074,1, veers distance to power generators
10075,1, pilot oneseven decimal twoeight
10076,1, veers target maximum fire power
10077,1, han transport this is solo better take off  i  cant get to you ill get the princess out on the falcon
10078,1, threepio butbutbutwhere are you going uhcome back
10079,1, threepio wait wait for me wait stop
10080,1, threepio how typical
10081,1, han come on
10082,1, han hurry up goldenrod or youre going to be a permanent resident
10083,1, threepio wait wait
10084,1, han hows this
10085,1, leia would it helped if i got out and pushed
10086,1, han it might
10087,1, threepio captain solo captain solosir might i suggest that  you
10088,1, threepio it can wait
10089,1, leia the bucket of bolts is never going to get us past that blockade
10090,1, han this babys got a few surprises left in her sweetheart
10091,1, han come on come on switch over lets hope we dont have a  burnout
10092,1, han see
10093,1, leia someday youre going to be wrong and i hope im there to see it
10094,1, han punch it
10095,1, luke artoo get her ready for takeoff
10096,1, wedge good luck luke see you at the rendezvous
10097,1, luke dont worry artoo were going were going
10098,1, luke theres nothing wrong artoo im just setting a  new course
10099,1, luke were not going to regroup with the others
10100,1, luke were going to the dagobah system
10101,1, luke yes artoo
10102,1, luke thats all right id like to keep it  on manual control for a while
10103,1, han i saw them i saw them
10104,1, leia saw what
10105,1, han star destroyers two of them coming right at us
10106,1, threepio sir sir might i suggest
10107,1, han shut him up or shut him down  check the  deflector shield
10108,1, han oh great well we can still outmaneuver them
10109,1, imperial officer take evasive action
10110,1, han prepare to make the jump to lightspeed
10111,1, threepio but sir
10112,1, leia theyre getting closer
10113,1, han oh yeah watch this
10114,1, leia watch what
10115,1, han i think were in trouble
10116,1, threepio if i may say so sir i noticed earlier the hyperdrive  motivator has been damaged its impossible to go to lightspeed
10117,1, han were in trouble
10118,1, han horizontal boosters
10119,1, han alluvial dampers well thats not it
10120,1, han bring me the hydrospanners
10121,1, han i dont know how were going to get out of this one
10122,1, han oww chewie
10123,1, han that was no laser blast something hit us
10124,1, leia han get up here
10125,1, han come on chewie
10126,1, leia asteroids
10127,1, han oh no chewie set twosevenone
10128,1, leia what are you doing youre not actually going into an asteroid  field
10129,1, han theyd be crazy to follow us wouldnt they
10130,1, leia you dont have to do this to impress me
10131,1, threepio sir the possibility of successfully navigating an asteroid  field is approximately three thousand seven hundred and twenty to one
10132,1, han never tell me the odds
10133,1, han you said you wanted to be around when i made a mistake well  this could be it sweetheart
10134,1, leia i take it back were going to get pulverized if we stay out  here much longer
10135,1, han im not going to argue with that
10136,1, threepio pulverized
10137,1, han im going in closer to one of the big ones
10138,1, leia closer
10139,1, threepio closer
10140,1, threepio oh this is suicide
10141,1, han there that looks pretty good
10142,1, leia what looks pretty good
10143,1, han yeah thatll do nicely
10144,1, threepio excuse me maam but where are we going
10145,1, leia i hope you know what youre doing
10146,1, han yeah me too
10147,1, luke yes thats it dagobah
10148,1, luke no im not going to change my mind about this   im not picking up any cities or technology massive lifeform readings though theres something alive down there
10149,1, luke yes im sure its perfectly safe for droids
10150,1, luke i know i know all the scopes are dead i cant  see a thing just hang on im going to start the landing cycle
10151,1, luke no artoo you stay put ill have a look around
10152,1, luke artoo
10153,1, luke artoo where are you
10154,1, luke artoo you be more careful
10155,1, luke artoo  that way
10156,1, luke artoo
10157,1, luke oh no are you all right come on youre lucky you dont taste  very good anything broken
10158,1, luke if youre saying coming here was a bad idea im beginning to  agree with you oh artoo what are we doing here its like something out of a dream or i dont know maybe im just going crazy
10159,1, vader yes admiral
10160,1, piett our ships have sighted the millennium falcon lord butit  has entered an asteroid field and we cannot risk
10161,1, vader asteroids do not concern me admiral i want  that ship and not excuses
10162,1, piett yes lord
10163,1, han im going to shut down everything but the emergency power  systems
10164,1, threepio sir im almost afraid to ask butdoes that include  shutting me down too
10165,1, han no i need you to talk to the falcon find out whats wrong with  the hyperdrive
10166,1, threepio sir its quite possible this asteroid is not entirely  stable
10167,1, han not entirely stable im glad youre here to tell us these  things  chewie take the professor in the back and plug him into the hyperdrive
10168,1, threepio oh sometimes i just dont understand human behavior after  all im only trying to do my job in the most
10169,1, leia let go
10170,1, han sshh
10171,1, leia let go please
10172,1, han dont get excited
10173,1, leia captain being held by you isnt quite enough to get me excited
10174,1, han sorry sweetheart we havent got time for anything else
10175,1, luke ready for some power okay lets see now put that in there  there you go
10176,1, luke now all i have to do is find this yodaif he even  exists
10177,1, luke stilltheres something familiar about this place i feel  likei dont know
10178,1, strange voice feel like what
10179,1, luke like were being watched
10180,1, creature away with your weapon i mean you no harm
10181,1, creature i am wondering why are you here
10182,1, luke im looking for someone
10183,1, creature looking found someone you have i would say hmmm
10184,1, luke right
10185,1, creature help you i can yes mmmm
10186,1, luke i dont think so im looking for a great warrior
10187,1, creature ahhh a great warrior  wars not  make one great
10188,1, luke put that down hey thats my dinner
10189,1, creature how you get so big eating food of this kind
10190,1, luke listen friend we didnt mean to land in that puddle and if we  could get our ship out we would but we cant so why dont you just
10191,1, creature aww cannot get your ship out
10192,1, luke hey you could have broken this dont do that ohhhyoure  making a mess hey give me that
10193,1, creature mine or i will help you not
10194,1, luke i dont want your help i want my lamp back ill need it to get  out of this slimy mudhole
10195,1, creature mudhole slimy my home this is
10196,1, creature ah ah ah
10197,1, luke oh artoo let him have it
10198,1, creature mine mine
10199,1, luke artoo
10200,1, creature mine
10201,1, creature mine
10202,1, luke now will you move along little fella were got a lot  of work to do
10203,1, creature no no no stay and help you i will  find your  friend hmm
10204,1, luke im not looking for a friend im looking for a jedi master
10205,1, creature oohhh jedi master yoda you seek yoda
10206,1, luke you know him
10207,1, creature mmm take you to him i will  yes yes but now we  must eat come good food come
10208,1, creature come come
10209,1, luke stay here and watch after the camp artoo
10210,1, threepio oh where is artoo when i need him
10211,1, threepio sir i dont know where your ship learned to communicate  but it has the most peculiar dialect i believe sir it says that the power coupling on the negative axis has been polarized im afraid youll have to replace it
10212,1, han well of course ill have to replace it
10213,1, han here and chewie
10214,1, han i think wed better replace the negative power  coupling
10215,1, han hey your worship im only trying to help
10216,1, leia would you please stop calling me that
10217,1, han sure leia
10218,1, leia oh you make it so difficult sometimes
10219,1, han i do i really do you could be a little nicer though  come on admit it sometimes you think im all right
10220,1, leia occasionally  maybewhen you arent  acting like a scoundrel
10221,1, han scoundrel scoundrel i like the sound of that
10222,1, leia stop that
10223,1, han stop what
10224,1, leia stop that my hands are dirty
10225,1, han my hands are dirty too what are you afraid of
10226,1, leia afraid
10227,1, han youre trembling
10228,1, leia im not trembling
10229,1, han you like me because im a scoundrel there arent enough  scoundrels in your life
10230,1, leia i happen to like nice men
10231,1, han im a nice man
10232,1, leia no youre not youre
10233,1, threepio sir sir ive isolated the reverse power flux coupling
10234,1, han thank you thank you very much
10235,1, threepio oh youre perfectly welcome sir
10236,1, needa and that lord vader was the last time they  appeared in any of our scopes considering the amount of damage weve sustained they must have been destroyed
10237,1, vader no captain theyre alive i want every ship available to  sweep the asteroid field until they are found
10238,1, piett lord vader
10239,1, vader yes admiral what is it
10240,1, piett the emperor commands you make contact with him
10241,1, vader move the ship out of the asteroid field so that we can send a  clear transmission
10242,1, piett yes my lord
10243,1, vader what is thy bidding my master
10244,1, emperor there is a great disturbance in the force
10245,1, vader i have felt it
10246,1, emperor we have a new enemy  luke skywalker
10247,1, vader yes my master
10248,1, emperor he could destroy us
10249,1, vader hes just a boy obiwan can no longer help him
10250,1, emperor the force is strong with him the son of skywalker must not  become a jedi
10251,1, vader if he could be turned he would become a powerful ally
10252,1, emperor yes yes he would be a great asset can it be done
10253,1, vader he will join us or die my master
10254,1, luke look im sure its delicious i just dont understand why we  cant see yoda now
10255,1, creature patience for the jedi it is time to eat as well eat eat  hot good food hm good hmm
10256,1, luke how far away is yoda will it take us long to get there
10257,1, creature not far yoda not far patience soon you will be with him   rootleaf i cook why wish you become jedi hm
10258,1, luke mostly because of my father i guess
10259,1, creature ah your father powerful jedi was he powerful jedi mmm
10260,1, luke oh come on how could you know my father you  dont even know who i am  oh i dont even know what im doing here were wasting our time
10261,1, creature i cannot teach him the boy has no patience
10262,1, ben he will learn patience
10263,1, yoda hmmm much anger in him like his father
10264,1, ben was i any different when you taught me
10265,1, yoda hah he is not ready
10266,1, luke yoda i am ready iben i can be a jedi ben tell him im  ready
10267,1, yoda ready are you what know you of ready for eight hundred years  have i trained jedi my own counsel will i keep on who is to be trained a jedi must have the deepest commitment the most serious mind  this one a long time have i watched never his mind on where he was hmm what he was doing hmph adventure heh excitement heh a jedi craves not these things  you are reckless
10268,1, ben so was i if youll remember
10269,1, yoda he is too old yes too old to begin the training
10270,1, luke but ive learned so much
10271,1, yoda will he finished what he begins
10272,1, luke i wont fail you  im not afraid
10273,1, yoda oh you will be you will be
10274,1, threepio sir if i may venture an opinion
10275,1, han im not really interested in your opinion threepio
10276,1, leia theres something out there
10277,1, han where
10278,1, leia outside in the cave
10279,1, threepio there it is listen listen
10280,1, han im going out there
10281,1, leia are you crazy
10282,1, han i just got this bucket back together im not going to let  something tear it apart
10283,1, leia then im going with you
10284,1, threepio i think it might be better if i stay here and guard the  ship  oh no
10285,1, leia this ground sure feels strange it doesnt feel like rock at  all
10286,1, han theres an awful lot of moisture in here
10287,1, leia i dont know i have a bad feeling about this
10288,1, han yeah
10289,1, han watch out
10290,1, han yeah thats what i thought mynock chewie check the rest of  the ship make sure there arent any more attached theyre chewing on the power cables
10291,1, leia mynocks
10292,1, han go on inside well clean them off if there are any more
10293,1, threepio ohhh go away go away beastly thing shoo shoo
10294,1, han wait a minute
10295,1, han all right chewie lets get out of here
10296,1, leia the empire is still out there i dont think its wise to
10297,1, han no time to discuss this as a committee
10298,1, leia i am not a committee
10299,1, leia you cant make the jump to lightspeed in this asteroid field
10300,1, han sit down sweetheart were taking off
10301,1, threepio look
10302,1, han i see it i see it
10303,1, threepio were doomed
10304,1, leia the cave is collapsing
10305,1, han this is no cave
10306,1, leia what
10307,1, yoda run yes a jedis strength flows from the force but beware of  the dark side angerfearaggression the dark side of the force are they easily they flow quick to join you in a fight if once you start down the dark path forever will it dominate your destiny consume you it will as it did obiwans apprentice
10308,1, luke vader is the dark side stronger
10309,1, yoda nonono quicker easier more seductive
10310,1, luke but how am i to know the good side from the bad
10311,1, yoda you will know when you are calm at peace passive a jedi uses  the force for knowledge and defense never for attack
10312,1, luke but tell me why i cant
10313,1, yoda no no there is no why nothing more will i  teach you today clear your mind of questions mmm mmmmmm
10314,1, luke theres something not right here
10315,1, luke i feel cold death
10316,1, yoda that placeis strong with the dark side of the force a domain  of evil it is in you must go
10317,1, luke whats in there
10318,1, yoda only what you take with you
10319,1, yoda your weaponsyou will not need them
10320,1, piett bounty hunters we dont need that scum
10321,1, first controller yes sir
10322,1, piett those rebels wont escape us
10323,1, second controller sir we have a priority signal from the star  destroyer avenger
10324,1, piett right
10325,1, vader there will be a substantial reward for the one who finds  the millennium falcon you are free to use any methods necessary but i want them alive no disintegrations
10326,1, boba fett as you wish
10327,1, piett lord vader my lord we have them
10328,1, threepio oh thank goodness were coming out of the asteroid field
10329,1, han lets get out of here ready for lightspeed onetwothree
10330,1, han its not fair
10331,1, han the transfer circuits are working its not my fault
10332,1, leia no lightspeed
10333,1, han its not my fault
10334,1, threepio sir we just lost the main rear deflector shield one more  direct hit on the back quarter and were done for
10335,1, han turn her around
10336,1, han i said turn her around im going to put all power in the front  shield
10337,1, leia youre going to attack them
10338,1, threepio sir the odds of surviving a direct assault on an imperial  star destroyer
10339,1, leia shut up
10340,1, needa theyre moving to attack position shields up
10341,1, needa track them they may come around for another pass
10342,1, tracking officer captain needa the ship no longer appears on our  scopes
10343,1, needa they cant have disappeared no ship that small has a cloaking  device
10344,1, tracking officer well theres no trace of them sir
10345,1, communications officer captain lord vader demands an update on the  pursuit
10346,1, needa get a shuttle ready i shall assume full  responsibility for losing them and apologize to lord vader meanwhile continue to scan the area
10347,1, communications officer yes captain needa
10348,1, yoda use the force yes
10349,1, yoda nowthe stone feel it
10350,1, yoda concentrate
10351,1, luke oh no well never get it out now
10352,1, yoda so certain are you always with you it cannot be done hear you  nothing that i say
10353,1, luke master moving stones around is one thing this is totally  different
10354,1, yoda no no different only different in your mind you must unlearn  what you have learned
10355,1, luke all right ill give it a try
10356,1, yoda no try not do or do not there is no try
10357,1, luke i cant its too big
10358,1, yoda size matters not look at me judge me by my size do you hm  mmmm
10359,1, yoda and well you should not for my ally in the force and a  powerful ally it is life creates it makes it grow its energy surrounds us and binds us luminous beings are wenot this crude matter  you must feel the force around you  here between youmethe treethe rockeverywhere yes even between this land and that ship
10360,1, luke you want the impossible
10361,1, luke i donti dont believe it
10362,1, yoda that is why you fail
10363,1, vader apology accepted captain needa
10364,1, piett lord vader our ships have completed their scan of the area and  found nothing if the millennium falcon went into lightspeed itll be on the other side of the galaxy by now
10365,1, vader alert all commands calculate every possible destination along  their last know trajectory
10366,1, piett yes my lord well find them
10367,1, vader dont fail me again admiral
10368,1, piett alert all commands deploy the fleet
10369,1, threepio captain solo this time you have gone too far  no i will not be quiet chewbacca why doesnt anyone listen to me
10370,1, han the fleet is beginning to break up go back and stand  by the manual release for the landing claw
10371,1, threepio i really dont see how thats going to help surrender is a  perfectly acceptable alternative in extreme circumstances the empire may be gracious enough
10372,1, han thank you
10373,1, leia what did you have in mind for your next move
10374,1, han well if they follow standard imperial procedure theyll dump  their garbage before they go to lightspeed then we just float away
10375,1, leia with the rest of the garbage then what
10376,1, han then weve got to find a safe port somewhere around here got any  ideas
10377,1, leia no where are we
10378,1, han the anoat system
10379,1, leia anoat system theres not much there
10380,1, han no well wait this is interesting lando
10381,1, leia lando system
10382,1, han landos not a system hes a man lando calrissian hes a card  player gambler scoundrel youd like him
10383,1, leia thanks
10384,1, han bespin its pretty far but i think we can make it
10385,1, leia a mining colony
10386,1, han yeah a tibanna gas mine lando conned somebody out of it we go  back a long way lando and me
10387,1, leia can you trust him
10388,1, han no but he has no love for the empire i can tell you that
10389,1, han here we go chewie stand by detach
10390,1, leia you do have your moments not many but you have them
10391,1, yoda concentratefeel the force flow yes good calm yes through  the force things you will see other places the futurethe past old friends long gone
10392,1, luke han leia
10393,1, yoda hmm control control you must learn control
10394,1, luke i sawi saw a city in the clouds
10395,1, yoda mmm friends you have there
10396,1, luke they were in pain
10397,1, yoda it is the future you see
10398,1, luke future will they die
10399,1, yoda difficult to see always in motion is the future
10400,1, luke ive got to go to them
10401,1, yoda decide you must how to serve them best if you leave now help  them you could but you would destroy all for which they have fought and suffered
10402,1, han no i dont have a landing permit im trying  to reach lando calrissian
10403,1, han whoa wait a minute let me explain
10404,1, intercom voice you will not deviate from your present course
10405,1, threepio rather touchy arent they
10406,1, leia i thought you knew this person
10407,1, han well that was a long time ago im sure hes  forgotten about that
10408,1, intercom voice permission granted to land on platform  threetwoseven
10409,1, han thank you
10410,1, han theres nothing to worry about we go way back lando and me
10411,1, leia whos worried
10412,1, threepio oh no one to meet us
10413,1, leia i dont like this
10414,1, han well what would you like
10415,1, threepio well they did let us land
10416,1, han look dont worry everythings going to be fine trust me
10417,1, han see my friend  keep your eyes open okay
10418,1, lando why you slimy doublecrossing nogood swindler youve got a  lot of guts coming here after what you pulled
10419,1, lando how you doing you old pirate so good to see you i  never thought id catch up with you again where you been
10420,1, threepio well he seems very friendly
10421,1, leia yesvery friendly
10422,1, lando what are you doing here
10423,1, han ahhrepairs i thought you could  help me out
10424,1, lando what have you done to my ship
10425,1, han your ship hey remember you lost her to me fair and square
10426,1, lando hello what have we here welcome im lando calrissian im  the administrator of this facility and who might you be
10427,1, leia leia
10428,1, lando welcome leia
10429,1, han all right all right you old smoothie
10430,1, threepio hello sir i am seethreepio humancyborg relations my  facilities are at your
10431,1, threepio well really
10432,1, lando whats wrong with the falcon
10433,1, han hyperdrive
10434,1, lando ill get my people to work on it
10435,1, han good
10436,1, lando you know that ship saved my life quite a few times shes the  fastest hunk of junk in the galaxy
10437,1, han hows the gas mine is it paying off for you
10438,1, lando oh not as well as id like were a small outpost and not very  selfsufficient and ive had supply problems of every kind ive had labor difficulties whats so funny
10439,1, han you listen to you  you sound like a businessman a responsible  leader whod have thought that huh
10440,1, lando you know seeing you sure brings back a few things
10441,1, han yeah
10442,1, lando yeah im responsible these days its the  price you pay for being successful
10443,1, threepio oh nice to see a familiar face
10444,1, second threepio e chu ta
10445,1, threepio how rude
10446,1, threepio that sounds like an r unit in there i wonder if
10447,1, threepio hello how interesting oh my
10448,1, man who are you
10449,1, threepio oh im terribly sorry ii didnt mean to intrude no  no please dont get up no
10450,1, yoda luke you must complete the training
10451,1, luke i cant keep the vision out of my head theyre my friends ive  got to help them
10452,1, yoda you must not go
10453,1, luke but han and leia will die if i dont
10454,1, ben you dont know that
10455,1, ben even yoda cannot see their fate
10456,1, luke but i can help them i feel the force
10457,1, ben but you cannot control it this is a dangerous time for you when  you will be tempted by the dark side of the force
10458,1, yoda yes yes to obiwan you listen the cave remember your failure  at the cave
10459,1, luke but ive learned so much since then master yoda i promise to  return and finish what ive begun you have my word
10460,1, ben it is you and your abilities the emperor wants that is why your  friends are made to suffer
10461,1, luke and that is why i have to go
10462,1, ben luke i dont want to lose you to the emperor the way i lost  vader
10463,1, luke you wont
10464,1, yoda stopped they must be on this depends only a fully trained jedi  knight with the force as his ally will conquer vader and his emperor if you end your training now if you choose the quick and easy path as vader did you will become an agent of evil
10465,1, ben patience
10466,1, luke and sacrifice han and leia
10467,1, yoda if you honor what they fight foryes
10468,1, ben if you choose to face vader you will do it alone i cannot  interfere
10469,1, luke i understand  artoo fire up the  converters
10470,1, ben luke dont give in to hate  that leads to the dark side
10471,1, yoda strong is vader mind what you have learned save you it can
10472,1, luke i will and ill return i promise
10473,1, yoda told you i did reckless is he now matters are worse
10474,1, ben that boy is our last hope
10475,1, yoda no there is another
10476,1, han the ship is almost finished two or three more things and were  in great shape
10477,1, leia the sooner the better somethings wrong here no one has seen  or knows anything about threepio hes been gone too long to have gotten lost
10478,1, han relax ill talk to lando and see what i can find out
10479,1, leia i dont trust lando
10480,1, han well i dont trust him either but he is my friend besides  well soon be gone
10481,1, leia and then youre as good as gone arent you
10482,1, leia what happened
10483,1, han where found him in a junk pile
10484,1, leia oh what a mess chewie do you think you can repair him
10485,1, han landos got people who can fix him
10486,1, leia no thanks
10487,1, lando im sorry am i interrupting anything
10488,1, leia not really
10489,1, lando you look absolutely beautiful you truly belong here with us  among the clouds
10490,1, leia thank you
10491,1, lando will you join me for a little refreshment
10492,1, lando everyones invited of course
10493,1, lando having trouble with you droid
10494,1, han no no problem why
10495,1, lando so you see since were a small operation we dont fall into  theuhjurisdiction of the empire
10496,1, leia so youre part of the mining guild then
10497,1, lando no not actually our operation is small enough not to be  noticedwhich is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves
10498,1, han arent you afraid the empires going to find out about this  little operation and shut you down
10499,1, lando thats always been a danger looming like a shadow over  everything weve built here but things have developed that will insure security ive just made a deal that will keep the empire out of here forever
10500,1, vader we would be honored if you would join us
10501,1, lando i had no choice they arrived right before you did im sorry
10502,1, han im sorry too
10503,1, luke no threepios with them
10504,1, luke just hang on were almost there
10505,1, threepio mmmm oh my uh i uh  take this off i uh dont mean  to intrude here i dont no no noplease dont get up no
10506,1, threepio stormtroopers here were in danger i must tell the  others oh no ive been shot
10507,1, lando lord vader
10508,1, vader you may take captain solo to jabba the hut after i  have skywalker
10509,1, boba fett hes no good to me dead
10510,1, vader he will not be permanently damaged
10511,1, lando lord vader what about leia and the wookiee
10512,1, vader they must never again leave this city
10513,1, lando that was never a condition of our agreement nor was giving han  to this bounty hunter
10514,1, vader perhaps you think youre being treated unfairly
10515,1, lando no
10516,1, vader good it would be unfortunate if i had to leave a garrison  here
10517,1, lando this deals getting worse all the time
10518,1, threepio oh yes thats very good i like that oh somethings not  right because now i cant see wait wait oh my what have you done im backwards you stupid furball only an overgrown mophead like you would be stupid enough
10519,1, han i feel terrible
10520,1, leia why are they doing this
10521,1, han they never even asked me any questions
10522,1, leia lando
10523,1, han get out of here lando
10524,1, lando shut up and listen vader has agreed to turn leia and chewie  over to me
10525,1, han over to you
10526,1, lando theyll have to stay here but at least theyll be safe
10527,1, leia what about han
10528,1, lando vaders giving him to the bounty hunter
10529,1, leia vader wants us all dead
10530,1, lando he doesnt want you at all hes after somebody called  skywalker
10531,1, han luke
10532,1, lando lord vader has set a trap for him
10533,1, leia and were the bait
10534,1, lando well hes on his way
10535,1, han perfect you fixed us all pretty good didnt you   my friend
10536,1, lando stop ive done all i can do im sorry i couldnt do better  but i have my own problems
10537,1, han yeah youre a real hero
10538,1, leia you certainly have a way with people
10539,1, vader this facility is crude but it should be adequate to freeze  skywalker for his journey to the emperor
10540,1, imperial soldier lord vader ship approaching xwing class
10541,1, vader good monitor skywalker and allow him to land
10542,1, lando lord vader we only use this facility for carbon freezing if  you put him in there it might kill him
10543,1, vader i do not want the emperors prize damaged we will test iton  captain solo
10544,1, threepio if only you had attached my legs i wouldnt be in this  ridiculous position now remember chewbacca you have a responsibility to me so dont do anything foolish
10545,1, han whats going onbuddy
10546,1, lando youre being put into carbon freeze
10547,1, boba fett what if he doesnt survive hes worth a lot to me
10548,1, vader the empire will compensate you if he dies put him in
10549,1, threepio oh no no no no stop chewbacca stop
10550,1, han stop chewie stop do you hear me stop
10551,1, threepio yes stop please im not ready to die
10552,1, han chewie chewie this wont help me hey
10553,1, han save your strength therell be another time the princess  you  have to take care of her you hear me
10554,1, leia i love you
10555,1, han i know
10556,1, threepio whatwhats going on turn around chewbacca i cant see  ohtheyve encased him in carbonite he should be quite wellprotected  if he survives the freezing process that is
10557,1, vader well calrissian did he survive
10558,1, lando yes hes alive and in perfect hibernation
10559,1, vader hes all yours bounty hunter reset the chamber for skywalker
10560,1, imperial officer skywalker has just landed my lord
10561,1, vader good see to it that he finds his way here calrissian take  the princess and the wookiee to my ship
10562,1, lando you said theyd be left in the city under my supervision
10563,1, vader i am altering the deal pray i dont alter it any further
10564,1, leia luke luke dont  its a trap its a trap
10565,1, vader the force is with you young skywalker but you are not a jedi  yet
10566,1, lando well done hold them in the security tower  and keep it  quiet move
10567,1, leia what do you think youre doing
10568,1, lando were getting out of here
10569,1, threepio i knew all along it had to be a mistake
10570,1, leia do you think that after what you did to han were going to trust  you
10571,1, lando i had no choice
10572,1, threepio what are you doing trust him trust him
10573,1, leia oh so we understand dont we chewie he had no choice
10574,1, lando im just trying to help
10575,1, leia we dont need any of your help
10576,1, lando haaa
10577,1, leia what
10578,1, threepio it sounds like han
10579,1, lando theres still a chance to save hani mean at the east  platform
10580,1, leia chewie
10581,1, threepio im terribly sorry about all this after all  hes only a wookiee
10582,1, boba fett put captain solo in the cargo hold
10583,1, threepio artoo artoo where have you been
10584,1, threepio turn around you wooly  hurry hurry were  trying to save han from the bounty hunter
10585,1, threepio well at least your still in one piece look what happened  to me
10586,1, threepio oh no chewie theyre behind you
10587,1, vader you have learned much young one
10588,1, luke youll find im full of surprises
10589,1, vader your destiny lies with me skywalker obiwan knew this to be  true
10590,1, luke no
10591,1, vader all to easy perhaps you are not as strong as the emperor  thought
10592,1, vader impressivemost impressive
10593,1, vader obiwan has taught you well you have controlled your fear  now release your anger
10594,1, vader only your hatred can destroy me
10595,1, lando the security codes has been changed
10596,1, threepio artoo you can tell the computer to override the security  system
