Value,Input
1,makes it his heels hang over the edge of a fortyfoot drop quigon swings
1,his laser sword with all his might and knocks darth amul off the ramp and
1,onto the desert floor the ramp closes and the naboo craft rockets away
1,leaving the sith lord standing alone
1,ext space  naboo spacecraft fx
1,the sleek spacecraft rockets away from the planet tatooine
1,int naboo spacecraft  hallway
1,anakin and obiwan rush into the hallway to find quigon collapsed on the
1,floor opposite the entry artoo is looking over him the jedi is breathing
1,hard wet with sweat and covered in dirt
1,anakin  are you all right
1,quigon  i think so that was a surpirse i wont soon forget
1,obiwan  what was it
1,quigon  i dont know but he was well trained in the jedi arts my
1,guess is he was after the queen
1,anakin  do you think hell follow us
1,quigon  well be safe enough once were in hyperspace but i have no
1,doubt he knows our destination
1,anakin  what are we going to do about it
1,obiwan gives anakin a who are you look anakin returns an innocent
1,stare
1,quigon  we will be patient anakin skywalker meet obiwan kenobi
1,anakin  pleased to meet you wow youre a jedi too
1,obiwan gives the boy a skeptical look
1,int cockpit  space
1,ric olie pulls back on the hyperdrive obiwan quigon and anakin watch
1,quigon  lets hope this hyperdrive works and watto didnt get the last
1,laugh
1,the stars streak outside the cockpit window
1,ext space  naboo spacecraft fx
1,the ship streaks into hyperspace
1,ext theed  street  night fx
1,several federation droids patrol a deserted city street the palace can be
1,seen in the distance
1,int naboo palace  throne room  theed  night
1,nute sits in a strange mechanical walking chair which approaches sio
1,bibble and several other naboo officials rune follows a few paces behind
1,droid guards surround sio bibble and the others as four council members
1,watch
1,nute  when are you going to give up this pointless strike your queen is
1,lost your people are starving and you governor are going to die much
1,sooner than your people im afraid take him away
1,bibble  this invasion will gain you nothing were a democracy the people
1,have decided they will not live under your tyranny
1,bibble is taken away as oom approaches nute
1,oom  my troops are in position to begin searching the swamps for these
1,rumored underwater villages they will not stay hidden for long
1,int naboo spacecraft  main area
1,the ship is asleep the lights are dim as padme walks into the main room
1,she goes to a monitor and watches the bibble plea recording jar jar is
1,stretched out on the floor snoring artoo is to one side cooing as he
1,rests
1,padme appears tired she senses someone watching her and turns around with
1,a start she sees anakin sitting in the corner shivering and looking
1,verydejected she goes over to him he looks up at her with tears in his
1,eyes he is holding his arms to keep himself warm
1,padme  are you all right
1,anakin  its very cold
1,padme gives him her overjacket
1,padme  youre from a warm planet annie too warm for my taste space is
1,cold
1,anakin  you seem sad
1,padme  the queen isworried her people are sufferingdying she must
1,convince the senate to intervene orim not sure what will happen
1,anakin  imim not sure whats going to happen to me i dunno if ill
1,ever see you again he pulls something from his pocket i made this for
1,you sou youd remember me i carved it out of a japor snippet it will
1,bring you good fortune
1,anakin hands a wooden pendant to padme she inspects it then puts it
1,around her neck
1,padme  its beautiful but i dont need this to remember you many things
1,will change when we reach the capital annie my caring for you will always
1,remain
1,anakin  i care for you too only imiss
1,anakin is disturbed about something tears are in his eyes
1,padme  you miss your mother
1,anakin looks at her unable to speak she hugs him
1,ext space  planet coruscant fx
1,move with the ship as it heads toward coruscant
1,int coruscant  cityscape  naboo spacecraft  day fx
1,the spacecraft dlies over the endlesscityscape of coruscant the capital of
1,the galaxy
1,int naboo spacecraft  cockpit
1,anakin looks out the cockpit window in awe
1,ric olie  coruscantthe capital of the republicthe entire planet is
1,one big city
1,anakin  wow its so huge
1,int naboo spacecraft  day fx
1,the ship flies through the cityscape of coruscant
1,ext coruscant  senate landing platform  day
1,supreme chancellor valorum several guards and senator palpatine stand on
1,a landing platform
1,the sleek naboo spacecraft lands on the platform high above the street
1,level of the galactic capital the ramp lowers obiwan quigon jar jar
1,and anakin descend the ramp first and bow before palpatine and valorum
1,captain panaka two guards queen amidala then padme rabe eirtae
1,and
1,more guards descend the ramp queen amidala stops before the group
1,anakin and jar jar stand to one side looking at the huge city padme
1,smiles at anakin palpatine bows before the queen
1,palpatine  it is a great gift to see you alive your majesty may i
1,present supreme chancellor valorum
1,valorum  welcome your highness it is an honor to finally meet you in
1,person i must relay to you how distressed everyone is over the currant
1,situation ive called for a special session of the senate to hear your
1,position
1,amidala  i am grateful for your concern chancellor
1,palpatine starts to lead queen amidala and her retinue off the platform
1,toward a waiting air taxi
1,palpatine  there is a question of precedure but i feel confident we can
1,overcome it
1,jar jar and anakin start to follow then stop noticing that obiwan and
1,quigon are staying with the supreme chancellor queen amidala waves to the
1,duo to follow her anakin looks back to quigon and he nods to go ahead
1,anakin and jar jar join the queen palpatine padme rabe and eirtae in the
1,taxi palpatine gives the gungan and the boy in the back of the taxi a
1,skeptical look jar jar leans over to anakin
1,jar jar  da queens a bein grossly nice mesa tinks he looks around
1,pitty hot
1,valorum and the jedi watch the taxi move off into the city
1,quigon  i must speak with the jei council immediately your honor the
1,situation has become more complicated
1,int palpatines quarters  anteroom  day
1,queen amidala is sitting listening to palpatine eirtae and rabe stand
1,behind the queen padme is nowhere to be sen anakin and jar jar are
1,waiting in an adjoining room they can see the queen but cannot hear what
1,is being said
1,jar jar  dissen all pitty odd to my
1,anakin  dont look at me i dont know whats going on
1,captain panaka enters then goes into the room with queen amidala
1,int palpatines quarters  living area  day
1,palpatine is pacing as captain panaka enters eirtae and rabe stand to one
1,side
1,palpatine  the republic is not what it once was the senate is full of
1,greedy squabbling delegates who are only looking out for themselves and
1,their home sytems there is no interest in the common goodno civility
1,only politicsits disgusting i must be frank your majesty there is
1,little chance the senate will act on the invasion
1,amidala  chancellor valorum seems to think there is hope
1,palpatine  if i may say so your majesty the chancellor has little real
1,powerhe is mired down by baseless accusations of corruption a
1,manufactured scandal surrounds him the bureaucrats are in charge now
1,amidala  what options do we have
1,palpatine  our best choice would be to push for the election of a stronger
1,supreme chancellor one who will take control of the bureaucrats enforces
1,the laws and give us justice you could call for a vote of no confidence
1,in chancellor valorum
1,amidala  he has been our strongest supporter is there any other way
1,palpatine  our only other choice would to be to submit a plea to the
1,courts
1,amidala  theres no time for that the courts take even longer to decide
1,things than the senate our people are dying senatormore and more each
1,day we must do something quickly to stop the federation
1,palpatine  to be realistic your highness id say were going to have to
1,accept federation control for the time being
1,amidala  there is something i cannot do
1,ext temple of the jedi  day fx
1,a unique building with it tall spires stands out against the coruscant
1,skyline a small transport passes by the vast temple
1,int temple of the jedi  council chambers  day
1,quigon stands in a tall stately room twelve jedi sit in a semicircle
1,obiwan stands behind quigon in the center of the room
1,the senior jedi is mace windu to his left is an alien jedi named
1,kiadimundi and to his right the jedi master yoda
1,quigon  my only conclusion can be that it was a sith lord
1,mace windu  a sith lord
1,kiadi  impossible the sith have been extinct for a millenium
1,yoda  the very republic is threatened if involved the sith are
1,mace windu  i do not believe they could have returned without us knowing
1,yoda  hard to see the dark side is discover who this assassin is we
1,must
1,kiadi  i sense he will reveal himself again
1,mace windu  this attack was with purpose that is clear and i agree the
1,queen is the target
1,yoda  with this naboo queen you must stay quigon protect her
1,mace windu  we will use all our resources here to unravel this mystery and
1,discover the identity of your attacker may the force be with you
1,yoda  may the force be with you
1,obiwan turns to leave but quigon continues to face the council
1,yoda  contd master quigon more to say have you
1,quigon  with your permission my master i have encountered a vergence in
1,the force
1,yoda  a vergence you say
1,mace windu  located around a person
1,quigon  a boy his cells have the highest concentration of
1,midichlorians i have seen in a life form it is possible he was conceived
1,by the midichlorians
1,mace windu  youre referring to the prophesy of the one who will bring
1,balance to the forceyou believe its this boy
1,quigon  i dont pressume
1,yoda  but you do rrevealed your opinion is
1,quigon  i request the boy be tested
1,the jedi all look to one another they nod and turn back to obiwan and
1,quigon
1,yoda  trained as a jedi you request for him
1,quigon  finding him was the will of the forcei have no doubt of that
1,there is too much happening here
1,mace windu  bring him before us then
1,yoda  tested he will be
1,int queens quarters  coruscant  day anakin tentative walks down one of
1,the long hallways in senator palpatines quarters he stops before a dor
1,that is flanked by two guards
1,guard  may i help you son
1,anakin  imim looking for the handmaiden padme
1,the guard speaks into his comlink as anakin looks around a bit nervously
1,guard  the boy is here to see padme
1,rabe  send him in
1,the doors open and anakin enters the queens quarters
1,rabe greets anakin as two other handmaidens come and go into the next room
1,anakin  id like to speak with padme if i could
1,rabe  im sorry annie padme is not here right now
1,the queen speaks out in the next room
1,amidala  os who is it
1,rabe  anakin skywalker to see padme your highness
1,the queen moves into the doorway and studies anakin anakin bows and looks
1,down then takes a peek at her
1,amidala  ive sent padme on an errand
1,anakin  im going to the jedi temple to start my training i hope
1,the queen just stares at him
1,anakin  contd i may not see her againand i just wanted to say
1,goodbye
1,amidala  we will tell her for you were sure her heart goes with you
1,anakin bows again
1,anakin  thank you your highness im sorry to have disturbed you
1,the queen dissapears behind the doorway and anakin exits
1,ext coruscant  galactic senate building  day fx
1,a large distinctive looking domed building stands out amid the cityscape
1,of coruscant
1,int main rotunda  galactic senate  day
1,the senate chambers are huge thousands of senators and their aides sit in
1,the circular assembly area chancellor valorum sits in an elevated area in
1,the center hindreds of aides and droids hurry about senator palpatine
1,queen amidala eirta rabe and captain panaka sit in the naboo
1,congressional box which is actually a floating platform palpatine leans
1,over to the queen
1,palpatine  if the federation moves to defer the motionyour majesty
1,ibeg of you to ask for a resolution to end this congressional session
1,amidala  i wish i had your confidence in this senator
1,palpatine  you must force a new election for supreme chancellori
1,promise you there are many who will support usit is our best chance
1,your majesty our only chance
1,amidala  you truely believe chancellor valorum will not bring our motion
1,to a vote
1,palapatine  he is distractedhe is afraid he will be of no help
1,valorum  the chair recognizes the senator from the sovereign system of
1,naboo
1,the naboo congressional box floats into the center
1,palpatine  supreme chancellor delegates of the senate a tragedy has
1,occured on our peaceful system of naboo we have become caugt in a dispute
1,youre all well aware of which began right here with the taxation of trade
1,routes and has now engulfed our entire planet in the oppresion of the
1,trade federation
1,a second box rushes into the center of the senate it is filled with
1,federation trade barons led by lott dod the senator for the federation
1,lott dod  this is outrageous i object to the senators statements
1,valorum  the chair does not recognize the senator from the trade
1,federation at this time please return to your station
1,lott dod reluctantly moves back to his place
1,palpatine  to state our allegations i present queen amidala the recently
1,elected ruler of naboo to speak on our behalf
1,queen amidala stands and addresses the assembly there is some applause
1,amidala  honorable representatives of the republic distinguished
1,delegates and your honor supreme chancellor valorum i come to you under
1,the gravest of circumstances the naboo system has been invaded by force
1,invadedagainst all the laws of the republic by the droid armies of the
1,trade
1,lott dod  i object there is no proof this is incredible we recommend a
1,commision be sent to naboo to assertain the truth
1,valorum  overruled
1,lott dod  your honor you cannot allow us to be condemned without
1,reasonable observation its against all the rules of procedure
1,a third box representing malastare moves into the center of the room aks
1,moe the ambassador addresses the convention
1,aks moe  the congress of malastare concurs with the honorable delegate
1,from the trade federation a commision must be appointedthat is the law
1,valorum  the point
1,valorum confers with several of his aides and vice chairman mas amedda
1,palpatine whispers something to the queen
1,palpatine  enter the bureaucrats the true rulers of the republic and on
1,the payroll of the trade federation i might add this is where chancellor
1,valorums strength will dissapear
1,valorum  the point is concededsection a take precedence here queen
1,amidala of the naboo will you defer your motion to allow a commission to
1,explore the validity of your accusations
1,queen amidala is angry but remains composed
1,amidala  angrily i will not deferi have come before you to resolve
1,this attack on our sovereignty now i was not elected to watch my people
1,suffer and die while you discuss this invasion in a committee if this body
1,is not capable of action i suggest new leadership is needed i move for a
1,vote of no confidencein chancellor valorums leadership
1,valorum  whatno
1,this causes a great stir in the assembly a loud mumur cresendos into a
1,roar of approval and jeers chancellor valorum is stunned and stands
1,speechless his vice chair mas amedda takes over
1,mas amedda  order we shall have order
1,things settledown a little the federation box settles next to amidala
1,prince bail organa moves his box into the arena
1,bail organa  alderaan seconds the motion for a vote of no confidence in
1,chancellor valorum
1,mad amedda  the motion has been seconded by bail organa of alderaan
1,mas amedda turns to the confused valorum and whispers something to him
1,bail organa  there must be no delays the motion is on the floor and must
1,be voted upon in this session
1,lott dod  the trade federation moves the motion be sent to the procedures
1,committee for study
1,the assembly begins to chant valorum talks to mas amedda
1,assembly  vote now vote now vote now
1,palpatine stands next to amidala
1,palpatine  you see your majaesty the tide is with usvalorum will be
1,voted out i assure you and they will elect in a new chancellor a strong
1,chancellor one who will not let our tragedy continue
1,mas amedda  thew supreme chancellor requests a recess tomorrow we will
1,begin the vote
1,the federation delegation is furious valorum turns to palpatine
1,valorum  palpatine i thought you were my allymy friend you have
1,betrayed me how could you do this
1,ext palace of the jedi  balcony  sunset
1,obiwan and quigon stand outside the palace on a balcony
1,obiwan  the boy will not pass the councils tests master and you know
1,it he is far too old
1,quigon  anakin will become a jedii promise you
1,obiwan  dont defy the council masternot again
1,quigon  i will do what i must
1,obiwan  master you could be sitting on the council by now if you would
1,just follow the code they will not go along with you this time
1,quigon  you still have much to learn my young apprentice
1,int palace of the jedi  council chambers  sunset
1,anakin stands before the twelve jedi mace windu holds a small handheld
1,viewing screen in rapid succession images flash across the screen
1,anakin  a shipa cupa speeder
1,mace windu turns the viewing screen off and nods toward yoda
1,yoda  good good young one how feel you
1,anakin  cold sir
1,yoda  afraid are you
1,anakin  no sir
1,mace windu  afraid to give up your life
1,anakin  i dont think so
1,anakin hesitates for a moment
1,yoda  see through you we can
1,mace windu  be mindful of your feelings
1,kiadi  your thoughts dwell on your mother
1,anakin  i miss her
1,yoda  afraid to lose heri think
1,anakin  a little angry whats that got to do with anything
1,yoda  eveything fear is the path to the dark side fear leads to
1,anger anger leads to hate hate leads to suffering
1,anakin  angrily i am not afraid
1,yoda  a jedi must have the deepest commitment the most serious mind i
1,sense much fear in you
1,anakin  quietly i am not afraid
1,yoda  then continue we will
1,int palpatines quarters  sunset
1,queen amidala is standing staring out the window with jar jar the lights
1,of the city shimmer before them eirtae and sabe stand near the door jar
1,jar turns to face the queen and sees her sadness
1,jar jar  mesa wonder why da guds invent pain
1,amidala  to motivate us i imagine
1,jar jar  yousa tinken yousa people ganna die
1,amidala  i dont know
1,jar jar  gungans ganna get pasted too eh
1,amidala  i hope not
1,jar jar  gungans do dien without a fight wesa warriors wesa gotta
1,grand army dat why you no liken us metinks
1,palpatine and captain panaka rush into the rom and bow before the queen
1,capt panaka  your highness senator palpatine has been nominated to
1,succeed valorum as supreme chancellor
1,palpatine  a surprise to be sure but a welcome one i promise your
1,majesty if i am elected i will bring democracy back to the republic i
1,will put an end to corruption the trade fedreation will lose its influence
1,over the bureaucrats and our people will be freed
1,amidala  who else can be nominated
1,capt panaka  bail antilles of alderaan and ainlee teem of malastare
1,palpatine  i feel confidentour situation will create a strong
1,sympaphy vote for us i will be chancellor i promise you
1,amidala  i fear by the time you have control of the bureaucrats senator
1,there will be nothing left of our cities our people our way of life
1,palpatine  i understand your concern your majesty unfortunately the
1,federation has possession of our planet the law is in their favor
1,amidala  with the senate in transition there is nothing more i can do
1,heresenator this is your arena i feel i must return to mine i have
1,decided to go back to naboo my place is with my people
1,palpatine  go back but your majesty be realistic you would be in
1,danger they will force you to sign the treaty
1,amidala  i will sign no treaty senator my fate will be no different from
1,that of our people captain
1,capt panaka  yes your highness
1,amidala  ready my ship
1,capt panaka  please your majesty stay herewhere its safe
1,amidala  no place is safe if the senate doesnt condemn this invasion it
1,is clear to me now that the republic no longer functions as a democracy if
1,you win the election senator i know you will do everything possible to
1,stop the federation i pray you will bring sanity and compassion back to
1,the senate
1,amidala and her retinue exit the room palpatine has a selfsatisfied smile
1,on his face
1,int temple of the jedi  council chambers  twilight
1,anakin obiwan and quigon stand before the twelve members of the jedi
1,council
1,yoda  correct you were quigon
1,mace windu  his cells contain a high concentration of midichlorians
1,kiadi  the force is strong with him
1,quigon  hes to be trained then
1,the council members look to one another
1,mace windu  no he will not be trained
1,anakin is crestfallen tears begin to form in his eyes
1,quigon  no
1,obiwan smiles
1,mace windu  he is too old there is already too much anger in him
1,quigon  he is the chosen oneyou must see it
1,yoda  clouded this boys future is masked by his youth
1,quigon  i will trin him then i take anakin as my padawan learner
1,obiwan reacts with surprise anakin watches with interest
1,yoda  an apprentice you have quigon impossible to take on a second
1,mace windu  we forbid it
1,quigon  obiwan is ready
1,obiwan  iam ready to face the trials
1,yoda  ready so early are you what know you of ready
1,anakin watches as quigon and obiwan exchange angry looks
1,quigon  headstrongand he has much to learn about the living force
1,but he is capabe there is little more he will learn from me
1,yoda  our own council we will keep on who is ready more to learn he
1,has
1,mace windu  now is not the time for thisthe senate is voting for a new
1,spreme chancellor queen amidala is returning home which will put pressure
1,on the federation and could widen the confrontation
1,yoda  and draw out the queens attacker
1,kiadi  events are moving fasttoo fast
1,mace windu  go with the queen to naboo and discover the identity of the
1,dark warrior that is the clue we need to unravel this mystery of the sith
1,yoda  young skywalkers fate will be decided later
1,quigon  i brought anakin here he must stay in my charge he has nowhere
1,else to go
1,mace windu  he is your ward quigonwe will not dispute that
1,yoda  train him not take him with you but train him not
1,mace windu  protect the queen but do not intercede if it comes to war
1,until we have the senates approval
1,yoda  may the force be with you
1,obiwan quigon and anakin leave
1,ext coruscant  senate landing platform  night
1,quigon obiwan and anakin stand on the landing platform outside the
1,ship artoo whistles a happy tune as he leans over the edge of the
1,platform watching the traffic suddenly he leans over too far and falls
1,overboard after a moment he reappears using his onboard jets to propel
1,himself back onto the landing platform the wind whips at anakin as he
1,listens to the jedi
1,obiwan  it is not disrespect master it is the truth
1,quigon  from your point of view
1,obiwan  the boy is dangerousthey all sense it why cant you
1,quigon  his fate is uncertain not dangerous the council will decide
1,anakins futurethat should be enough for you now get on board
1,obiwan reluctantly boards the naboo spacecraft followed by artoo quigon
1,goes over to anakin
1,anakin  master quigon sir i do not wish to be a problem
1,quigon  you wont be annieim not allowed to train you so i want
1,you to watch me and be mindfulalways remember your focus determines
1,your reality stay close to me and you will be safe
1,anakin  master sirive been wonderingwhat are midichlorians
1,quigon  midichlorians are a microcopic lifeform that reside within all
1,living cells and communicates with the force
1,anakin  they live inside of me
1,quigon  in your cells we are symbionts with the midichlorians
1,anakin  symbionts
1,quigon  life forms living together for mutual advantage without the
1,midichlorians life could not exist and we would have no knowledge of the
1,force they continually speak to you telling you the will of the force
1,anakin  they do
1,quigon  when you learn to quiet your mind you will hear them speaking to
1,you
1,anakin  i dont understand
1,quigon  with time and training annieyou will
1,two taxis pull up and captain panaka senator palpatine twenty or so
1,troops guards and officers walk briskly toward the ship followed by
1,queen amidala padme eirtae and finally jar jar amidala and her
1,handmaidens stop before the jedi
1,quigon  contd your highness it is our pleasure to continue to serve
1,and protect you
1,amidala  i welcome your help senator palpatine fears the federation means
1,to destroy me
1,quigon  i promise you i will not let that happen
1,amidala enters the ship followed by her handmaidens jar jar hugs quigon
1,and anakin
1,jar jar  wesa goen home
1,they all move onto the ship the ship takes off
1,int naboo palace  throne room  theed  night
1,nute and rune stand before a hologram of darth sidious
1,darth sidious  the queen is on her way to you i regret she is of no
1,further use to us when she gets there destroy her
1,nute  yes my lord
1,darth sidious  viceroy is the planet secure
1,nute  yes my lord we have taken over the last pockets of primitive life
1,forms we are in complete control of the planet now
1,darth sidious  good i will see to it that in the senate things stay as
1,they are i am sending darth maul to join you he will deal with the jedi
1,nute  yes my lord
1,darth sidious fades off
1,rune  a sith lord here with us
1,int space  naboo spacecraft cockpit
1,anakin stands next to the pilot ric olie pointing to various buttons and
1,gauges
1,anakin  and that one
1,ric olie  the forward stabalizer
1,anakin  and those control the pitch
1,ric olie  you catch on pretty quick
1,int naboo spacecraft  queens chambers
1,sabe and eirtae stand behind queen amidala as she talks with quigon and
1,captain panaka obiwan and jar jar watch
1,capt panaka  the moment we land the federation will arrest you and force
1,you to sign the treaty
1,quigon  i agreeim not sure what you hope to accomplish by this
1,amidala  im going to take back whats ours
1,capt panaka  there are only twelve of us your highnesswe have no
1,army
1,quigon  i cannot fight a war for you your highness only protect you
1,amidala  jar jar binks
1,jar jar looks around puzzled
1,jar jar  mesa your highness
1,amidala  yes i need your help
1,int naboo cruiser cockpit  day
1,the naboo cruiser heads toward the lush green planet there is only one
1,federation battle cruiser orbiting obiwan and captain panaka spot it on
1,the view screen
1,panaka  the blockades gone
1,obiwan  the wars overno need for it now
1,ric olie  i have one battleship on my scope
1,obiwan  a droid control ship
1,panaka  theyve probably spotted us
1,obiwan  we havent much time
1,int naboo spacecraft  main hold
1,the queen captain panaka troops and handmaidens get ready to disembark
1,as the ship alnds the elevator door slides open and anakin emerges into
1,the hold area he see padme and run up to her
1,anakin  hi where have you been
1,padme  annie what are you doing here
1,anakin  im with quigonbuttheyre not going to let me be a jedi
1,im too old
1,padme  this is going to be dangerous annie
1,anakin  is it i can help where are we going
1,padme  to war im afraid the queen has had to make the most difficuld
1,decision of her life she doesnt believe in fighting annie we are a
1,peaceful people
1,anakin  i want to helpim glad youre back
1,anakin smiles padme smiles back
1,ext naboo swamp  day
1,the naboo spacecraft has landed in the gungan swamp troops unload the
1,ships in the background as obiwan approaches quigon
1,obiwan  jar jar is on his way to the gungan city master
1,quigons thoughts are elsewhere
1,quigon  good
1,obiwan and quigon stand silently for a moment
1,obiwan  do you think the queens idea will work
1,quigon  the gungans will not easily be swayed and we cannot use our
1,power to help her
1,obiwan  imim sorry for my behavior master it is not my place to
1,disagree with you about the boy i am grateful you think i am ready for the
1,trials
1,quigon looks at him for a long moment
1,quigon  you have been a good apprentice you are much wiser than iam
1,obiwan i foresee you will become a great jedi knight
1,ext naboo swamp  underwater  day fx
1,jar jar swims down into bubble city
1,int otoh gunga  city square
1,jar jar enters the main square of the bubble city he stands stunned in
1,amazement and fear he is nervous and shaking
1,jar jar  ello where das everybody
1,the plaza is empty he notices that many of the buildings are shot up as if
1,there had been a battle of some kind
1,ext naboo swamp lake  day
1,jar jar exits the swamp lake and walks over to queen amidala captain
1,panaka obiwan and quigon padme eirtae rabe anakin and artoo
1,four
1,pilots and eight guards stand in the background near the starship
1,jar jar  daresa nobody dare all gone some kinda fight i tink sorry
1,no gungasno gungas
1,capt panaka  do you think they have been taken to camps
1,obiwan  more likely they were wiped out
1,jar jar  nomesa no tink so gungan hiden when in trouble go to sacred
1,place mackineeks no find them dare
1,quigon  do you know where they are
1,ext naboo swamp  day
1,the group follows jar jar as he moves through the swamp jar jar stops and
1,sniffs the air the group stop behind him
1,jar jar  dissen it
1,jar jar makes a strange chattering noise suddenly out of nowhere captain
1,tarpals and six other gungan troops riding on kaadus emerge from the brush
1,jar jar  contd heyodalee captain tarpals
1,capt tarpals  binks noah gain
1,jar jar  we comen to see da boss
1,captian tarpals rolls his eyes
1,capt tarpals  ouch time binks ouch time for alln youse
1,ext naboo sacred temple ruins  day
1,jar jar queen amidala anakin artoo quigon obiwan padme rabe
1,eirtae and the rest of her group are led through a clearing full of gungan
1,refugees at the far end are the ruins of a grand temple with massive
1,carved heads boss nass and several other council members walk out on the
1,top of a threequartersubmerged head
1,boss nass  jar jar yousa payen dis time whos da ussen others
1,queen amidala steps forward captain panaka and the jedi stand behind her
1,amidala  i am queen amidala of the nabooi come before you in peace
1,boss nass  naboo biggen yousa bringen da mackineeks dya busten ussen
1,omm yousa all bombad yousa all dien mesa tink
1,captain panaka and half a dozen guards and pilots look around nervously
1,and the gungan troops lower their long power poles the jedi stay relaxed
1,anakin watches everything with great interest
1,amidala  we wish to form an alliance
1,suddenly padme steps forward
1,padme  your honor
1,artoo whistles a quiet uh oh
1,boss nass  whosa dis
1,padme  i am queen amidala points to queen this is my decoymy
1,protectionmy loyal bodyguard
1,anakin is stunned obiwan and quigon give each other a knowing look
1,padme  contd i am sorry for my deception but under the
1,circumstances it has become necessary to protect myself although we do not
1,always agree your honor our two great societies have always lived in
1,peaceuntil now the trade federation has destroyed all that we have
1,worked so hard to build you are in hiding my people are in camps if we
1,do not act quickly all will be lost foreveri ask you to help usno i
1,beg you to help us
1,padme drops to her knees and prostrates herself before boss nass there is
1,a gasp from captain panaka his troops and the handmaidens
1,padme  contd we are your humble servantsour fate is in your hands
1,slowly captain panaka and his troops bow down before the gungan council
1,then the handmaidens anakin and finally the jedi the gungans are puzzled
1,by this boss nass begins to laugh
1,boss nass  yousa no tinken yousa greater den da gungans mesa like dis
1,maybe wesa bein friends
1,int naboo palace  throne room  day
1,nute rune and darth maul walk with a hologram of darth sidious
1,nute  weve sent out patrols weve already located their starship in
1,the swampit wont be long my lord
1,darth sidious  this is an unexpected move for her its too aggresive
1,lord maul be mindful
1,darth maul  yes my master
1,darth sidious  be patient let them make the first move
1,ext naboo edge of swamp grass plains  day
1,a gungan sentry sits on top of the ancient temple heah searching the
1,landscape with a pair of electrobinoculars he sees something and yells
1,down to anakin at the foot of the statue
1,gungan lookout  daza comen
1,anakin  all right theyre here
1,anakin yells and runs over to padme and the jedi who are discussing a
1,battle plan with five gungan generals sabe and eirtae stand nearby boss
1,nass puts his arm around jar jar
1,boss nass  yousa doen grand jar jar bringen da naboo together
1,jar jar  oh no no no
1,boss nass  so wesa maken yousa bombad general
1,jar jar  general oh no
1,jar jars eyes roll back his tongue flops out and he faints
1,four speeders pull up to the group captain panaka and a dozen or so
1,guards
1,and pilot pile out and join the group
1,padme  what is the situation
1,capt panaka  almost everyones in camps a few hundred police and guards
1,have formed an underground movement i brought as many of the keaders as i
1,could the federation armys also much larger than we thought and much
1,stronger your highness this is a battle i do not think we can win
1,padme  the battle is a diversion the gungans must draw thedroid army away
1,from the cities we can enter the city using the secret passages on the
1,waterfall side once we get to the main entrance captain pnaka will create
1,a diversion so that we can enter the palace and capture the viceroy
1,without the viceroy they will be lost and confused
1,quigon and obiwan look on with interest
1,padme  contd what do you think master jedi
1,quigon  the viceroy will be well guarded
1,capt panaka  the difficultys getting into the throne room once were
1,inside we shouldnt have a problem
1,quigon  there is a possibility with this diversion many gungans will be
1,killed
1,boss nass  wesa ready to do aresa part
1,jar jar smiles a very worried and sheepish grin anakin watches with
1,interest as does artoo
1,padme  we have a plan which should immobilize the droid army we will send
1,what pilots we have to knock out the droid control ship which is orbiting
1,the planet if we can get past their rayshields we can sever communication
1,and their droids will be helpless
1,quigon  a wellconceived plan however theres great risk the weapons
1,on your fighters may not penetrate the shields on the control ship
1,obiwan  and theres an even bigger danger if the vicroy escapes your
1,highness he will return with another droid army
1,padme  that is why we must not fail to get to the viceroy everything
1,depends on it
1,int theed  palace  throne room  day
1,nute rune darth maul oom and a hologram of darth sidious walk through
1,the throne room
1,darth sidious  she is more foolish than i thought
1,nute  we are sending all available troops to meet this army of hers
1,assembling near the swamp it appears to be made up of primitives we do
1,not expect much resistance
1,oom  i am increasing security at all naboo detention camps
1,darth maul  i feel there is more to this my master the two jedi may be
1,using the queen for their own purposes
1,darth sidious  the jedi cannot become involved they can only protect the
1,queen even quigon jinn will not break that conenant this will work to
1,our advantage
1,nute  i have your approval to proceed then my lord
1,darth sidious  proceed wipe them putall of them int naboo swamp lake
1, day fx
1,all is peaceful small critters drink out of a large swamp lake suddenly
1,there is a disturbance in the middle of the lake a rush of bubbles then a
1,gungan soldier riding a kaadu emerges from the water followed by several
1,others frogs and other little animals flee in all directions as the gungan
1,army marches through the swamp the kaadu shake themselves off as they exit
1,the lake when jar jars kaadu shakes off jar jar falls off
1,soldiers on huge lizardlike fambaas with large shield generators mounted
1,on their backs follow the marching warriors the gungan army heads out of
1,the swamp and onto the rolling grassy hills
1,hundreds of gungan warriors march in lon lines toward the horizon
1,federation tanks move up to a ridge and stop in the distance they see the
1,gungan army marching toward them the gungan general ceel sees the tanks on
1,the ridge and orders a halt the gungans are spread out in a large line
1,jar jar is nervous general ceel signals to the shield operators
1,general ceel  energize the shields
1,a red ray shoots out of the generator and blasts into a large dish on the
1,back of a second faamba and spreads like an umbrella over the assembled
1,warriors
1,ext theed  central plaza  day
1,padme followed by eirtae obiwan quigon anakin and artoo stealthily
1,makes her way toward the entrance to the main hanger they are followed by
1,about twenty naboo guards pilots and troops they stop and padme uses a
1,small red laser light to signal across the plaza to captain panaka rabe
1,and twenty other assorted naboo troops they signal back quigon leans
1,over to anakin
1,quigon  once we get inside annie you find a safe placeto hide and stay
1,there
1,anakin  sure
1,quigon  and stay there
1,droid troops mill about the tankfilled plaza at the far end of the plaza
